Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2024-01-02T15:00:00Z,SPY   240102P00471000,0.41,-1,,Filled,-0.41,"" 
2024-01-02T20:45:00Z,SPY   240102P00466000,0.01,-1,,Filled,-0.01,"" 
2024-01-03T15:00:00Z,SPY   240103P00468000,0.32,-1,,Filled,-0.32,"" 
2024-01-03T20:45:00Z,SPY   240103P00463000,0.01,-1,,Filled,-0.01,"" 
2024-01-04T15:00:00Z,SPY   240104P00467000,0.26,-1,,Filled,-0.26,"" 
2024-01-04T20:45:00Z,SPY   240104P00462000,0.01,-1,,Filled,-0.01,"" 
2024-01-05T15:00:00Z,SPY   240105P00466000,0.35,-1,,Filled,-0.35,"" 
2024-01-05T20:45:00Z,SPY   240105P00461000,0.01,-1,,Filled,-0.01,"" 
2024-01-08T15:00:00Z,SPY   240108P00468000,0.26,-1,,Filled,-0.26,"" 
2024-01-08T20:45:00Z,SPY   240108P00463000,0.01,-1,,Filled,-0.01,"" 
2024-01-09T15:00:00Z,SPY   240109P00471000,0.43,-1,,Filled,-0.43,"" 
2024-01-09T20:45:00Z,SPY   240109P00466000,0.01,-1,,Filled,-0.01,"" 
2024-01-10T15:00:00Z,SPY   240110P00473000,0.27,-1,,Filled,-0.27,"" 
2024-01-10T20:45:00Z,SPY   240110P00468000,0.01,-1,,Filled,-0.01,"" 
2024-01-11T15:00:00Z,SPY   240111P00474000,0.38,-1,,Filled,-0.38,"" 
2024-01-11T15:05:00Z,SPY   240111P00469000,0.07,-1,,Filled,-0.07,"" 
2024-01-12T15:00:00Z,SPY   240112P00475000,0.34,-1,,Filled,-0.34,"" 
2024-01-12T15:50:00Z,SPY   240112P00470000,0.03,-1,,Filled,-0.03,"" 
2024-01-16T15:00:00Z,SPY   240116P00473000,0.42,-1,,Filled,-0.42,"" 
2024-01-16T20:45:00Z,SPY   240116P00468000,0.01,-1,,Filled,-0.01,"" 
2024-01-17T15:00:00Z,SPY   240117P00469000,0.29,-1,,Filled,-0.29,"" 
2024-01-17T20:45:00Z,SPY   240117P00464000,0.01,-1,,Filled,-0.01,"" 
2024-01-18T15:00:00Z,SPY   240118P00472000,0.31,-1,,Filled,-0.31,"" 
2024-01-18T20:45:00Z,SPY   240118P00467000,0.01,-1,,Filled,-0.01,"" 
2024-01-19T15:00:00Z,SPY   240119P00476000,0.46,-1,,Filled,-0.46,"" 
2024-01-19T20:45:00Z,SPY   240119P00471000,0.01,-1,,Filled,-0.01,"" 
2024-01-22T15:00:00Z,SPY   240122P00483000,0.31,-1,,Filled,-0.31,"" 
2024-01-22T16:01:00Z,SPY   240122P00478000,0.03,-1,,Filled,-0.03,"" 
2024-01-23T15:00:00Z,SPY   240123P00482000,0.27,-1,,Filled,-0.27,"" 
2024-01-23T20:45:00Z,SPY   240123P00477000,0.01,-1,,Filled,-0.01,"" 
2024-01-24T15:00:00Z,SPY   240124P00486000,0.41,-1,,Filled,-0.41,"" 
2024-01-24T20:45:00Z,SPY   240124P00481000,0.01,-1,,Filled,-0.01,"" 
2024-01-25T15:00:00Z,SPY   240125P00486000,0.48,-1,,Filled,-0.48,"" 
2024-01-25T20:45:00Z,SPY   240125P00481000,0.01,-1,,Filled,-0.01,"" 
2024-01-26T15:00:00Z,SPY   240126P00486000,0.33,-1,,Filled,-0.33,"" 
2024-01-26T20:45:00Z,SPY   240126P00481000,0.01,-1,,Filled,-0.01,"" 
2024-01-29T15:00:00Z,SPY   240129P00486000,0.21,-1,,Filled,-0.21,"" 
2024-01-29T20:45:00Z,SPY   240129P00481000,0.01,-1,,Filled,-0.01,"" 
2024-01-30T15:00:00Z,SPY   240130P00489000,0.37,-1,,Filled,-0.37,"" 
2024-01-30T20:45:00Z,SPY   240130P00484000,0.01,-1,,Filled,-0.01,"" 
2024-01-31T15:00:00Z,SPY   240131P00485000,0.46,-1,,Filled,-0.46,"" 
2024-01-31T15:38:00Z,SPY   240131P00480000,0.06,-1,,Filled,-0.06,"" 
2024-02-01T15:00:00Z,SPY   240201P00483000,0.6,-1,,Filled,-0.6,"" 
2024-02-01T20:45:00Z,SPY   240201P00478000,0.01,-1,,Filled,-0.01,"" 
2024-02-02T15:00:00Z,SPY   240202P00489000,0.6,-1,,Filled,-0.6,"" 
2024-02-02T20:45:00Z,SPY   240202P00484000,0.01,-1,,Filled,-0.01,"" 
2024-02-05T15:00:00Z,SPY   240205P00492000,0.44,-1,,Filled,-0.44,"" 
2024-02-05T15:10:00Z,SPY   240205P00487000,0.03,-1,,Filled,-0.03,"" 
2024-02-06T15:00:00Z,SPY   240206P00491000,0.3,-1,,Filled,-0.3,"" 
2024-02-06T20:45:00Z,SPY   240206P00486000,0.01,-1,,Filled,-0.01,"" 
