Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2024-01-02T20:45:00Z,SPY   240102P00466000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-02T20:45:00Z,SPY   240102P00471000,0.25,1,Market,Filled,0.25,"" 
2024-01-03T20:45:00Z,SPY   240103P00463000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-03T20:45:00Z,SPY   240103P00468000,0.06,1,Market,Filled,0.06,"" 
2024-01-04T20:45:00Z,SPY   240104P00462000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-04T20:45:00Z,SPY   240104P00467000,0.03,1,Market,Filled,0.03,"" 
2024-01-05T20:45:00Z,SPY   240105P00461000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-05T20:45:00Z,SPY   240105P00466000,0.05,1,Market,Filled,0.05,"" 
2024-01-08T20:45:00Z,SPY   240108P00463000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-08T20:45:00Z,SPY   240108P00468000,0.01,1,Market,Filled,0.01,"" 
2024-01-09T20:45:00Z,SPY   240109P00466000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-09T20:45:00Z,SPY   240109P00471000,0.02,1,Market,Filled,0.02,"" 
2024-01-10T20:45:00Z,SPY   240110P00468000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-10T20:45:00Z,SPY   240110P00473000,0.02,1,Market,Filled,0.02,"" 
2024-01-11T20:45:00Z,SPY   240111P00469000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-11T20:45:00Z,SPY   240111P00474000,0.03,1,Market,Filled,0.03,"" 
2024-01-12T20:45:00Z,SPY   240112P00470000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-12T20:45:00Z,SPY   240112P00475000,0.03,1,Market,Filled,0.03,"" 
2024-01-16T20:45:00Z,SPY   240116P00473000,0.04,1,Market,Filled,0.04,"" 
2024-01-16T20:45:00Z,SPY   240116P00468000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-17T20:45:00Z,SPY   240117P00469000,0.02,1,Market,Filled,0.02,"" 
2024-01-17T20:45:00Z,SPY   240117P00464000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-18T20:45:00Z,SPY   240118P00472000,0.02,1,Market,Filled,0.02,"" 
2024-01-18T20:45:00Z,SPY   240118P00467000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-19T20:45:00Z,SPY   240119P00471000,0.01,-1,Market,Filled,-0.01,"" 
2024-01-19T20:45:00Z,SPY   240119P00476000,0.01,1,Market,Filled,0.01,"" 
2024-01-22T20:45:00Z,SPY   240122P00483000,0.05,1,Market,Filled,0.05,"" 
2024-01-22T20:45:00Z,SPY   240122P00478000,0.01,-1,Market,Filled,-0.01,"" 
