Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2023-12-20T20:45:00Z,SPY   231220P00468000,0,-1,Market,Invalid,0,"" 
2023-12-21T05:00:00Z,SPY   231220P00468000,0,-1,Option Exercise,Filled,0,"" 
2023-10-02T19:45:00Z,SPY   231002P00420000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-02T19:45:00Z,SPY   231002P00425000,0.06,1,Market,Filled,0.06,"" 
2023-10-03T19:45:00Z,SPY   231003P00419000,0.02,-1,Market,Filled,-0.02,"" 
2023-10-03T19:45:00Z,SPY   231003P00424000,2.94,1,Market,Filled,2.94,"" 
2023-10-04T19:45:00Z,SPY   231004P00415000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-04T19:45:00Z,SPY   231004P00420000,0.01,1,Market,Filled,0.01,"" 
2023-10-05T19:45:00Z,SPY   231005P00417000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-05T19:45:00Z,SPY   231005P00422000,0.02,1,Market,Filled,0.02,"" 
2023-10-06T19:45:00Z,SPY   231006P00415000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-06T19:45:00Z,SPY   231006P00420000,0.01,1,Market,Filled,0.01,"" 
2023-10-09T19:45:00Z,SPY   231009P00423000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-09T19:45:00Z,SPY   231009P00428000,0.02,1,Market,Filled,0.02,"" 
2023-10-10T19:45:00Z,SPY   231010P00427000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-10T19:45:00Z,SPY   231010P00432000,0.02,1,Market,Filled,0.02,"" 
2023-10-11T19:45:00Z,SPY   231011P00428000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-11T19:45:00Z,SPY   231011P00433000,0.01,1,Market,Filled,0.01,"" 
2023-10-12T19:45:00Z,SPY   231012P00428000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-12T19:45:00Z,SPY   231012P00433000,0.12,1,Market,Filled,0.12,"" 
2023-10-13T19:45:00Z,SPY   231013P00429000,0.07,-1,Market,Filled,-0.07,"" 
2023-10-13T19:45:00Z,SPY   231013P00434000,3.53,1,Market,Filled,3.53,"" 
2023-10-16T19:45:00Z,SPY   231016P00432000,0.01,1,Market,Filled,0.01,"" 
2023-10-16T19:45:00Z,SPY   231016P00427000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-17T19:45:00Z,SPY   231017P00431000,0.01,1,Market,Filled,0.01,"" 
2023-10-17T19:45:00Z,SPY   231017P00426000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-18T19:45:00Z,SPY   231018P00427000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-18T19:45:00Z,SPY   231018P00432000,2.09,1,Market,Filled,2.09,"" 
2023-10-19T19:45:00Z,SPY   231019P00428000,2.15,1,Market,Filled,2.15,"" 
2023-10-19T19:45:00Z,SPY   231019P00423000,0.02,-1,Market,Filled,-0.02,"" 
2023-10-20T19:45:00Z,SPY   231020P00418000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-20T19:45:00Z,SPY   231020P00423000,1.53,1,Market,Filled,1.53,"" 
2023-10-23T19:45:00Z,SPY   231023P00418000,0.02,1,Market,Filled,0.02,"" 
2023-10-23T19:45:00Z,SPY   231023P00413000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-24T19:45:00Z,SPY   231024P00421000,0.03,1,Market,Filled,0.03,"" 
2023-10-24T19:45:00Z,SPY   231024P00416000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-25T19:45:00Z,SPY   231025P00413000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-25T19:45:00Z,SPY   231025P00418000,0.78,1,Market,Filled,0.78,"" 
2023-10-26T19:45:00Z,SPY   231026P00413000,0.81,1,Market,Filled,0.81,"" 
2023-10-26T19:45:00Z,SPY   231026P00408000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-27T19:45:00Z,SPY   231027P00406000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-27T19:45:00Z,SPY   231027P00411000,1.69,1,Market,Filled,1.69,"" 
2023-10-30T19:45:00Z,SPY   231030P00408000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-30T19:45:00Z,SPY   231030P00413000,0.02,1,Market,Filled,0.02,"" 
2023-10-31T19:45:00Z,SPY   231031P00413000,0.01,1,Market,Filled,0.01,"" 
2023-10-31T19:45:00Z,SPY   231031P00408000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-01T19:45:00Z,SPY   231101P00417000,0.01,1,Market,Filled,0.01,"" 
2023-11-01T19:45:00Z,SPY   231101P00412000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-02T19:45:00Z,SPY   231102P00420000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-02T19:45:00Z,SPY   231102P00425000,0.01,1,Market,Filled,0.01,"" 
2023-11-03T19:45:00Z,SPY   231103P00433000,0.02,1,Market,Filled,0.02,"" 
2023-11-03T19:45:00Z,SPY   231103P00428000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-06T20:45:00Z,SPY   231106P00434000,0.03,1,Market,Filled,0.03,"" 
2023-11-06T20:45:00Z,SPY   231106P00429000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-07T20:45:00Z,SPY   231107P00434000,0.01,1,Market,Filled,0.01,"" 
2023-11-07T20:45:00Z,SPY   231107P00429000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-08T20:45:00Z,SPY   231108P00436000,0.02,1,Market,Filled,0.02,"" 
2023-11-08T20:45:00Z,SPY   231108P00431000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-09T20:45:00Z,SPY   231109P00436000,2.54,1,Market,Filled,2.54,"" 
2023-11-09T20:45:00Z,SPY   231109P00431000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-10T20:45:00Z,SPY   231110P00435000,0.01,1,Market,Filled,0.01,"" 
2023-11-10T20:45:00Z,SPY   231110P00430000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-13T20:45:00Z,SPY   231113P00432000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-13T20:45:00Z,SPY   231113P00437000,0.01,1,Market,Filled,0.01,"" 
2023-11-14T20:45:00Z,SPY   231114P00446000,0.02,1,Market,Filled,0.02,"" 
2023-11-14T20:45:00Z,SPY   231114P00441000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-15T20:45:00Z,SPY   231115P00443000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-15T20:45:00Z,SPY   231115P00448000,0.02,1,Market,Filled,0.02,"" 
2023-11-16T20:45:00Z,SPY   231116P00449000,0.03,1,Market,Filled,0.03,"" 
2023-11-16T20:45:00Z,SPY   231116P00444000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-17T20:45:00Z,SPY   231117P00449000,0.02,1,Market,Filled,0.02,"" 
2023-11-17T20:45:00Z,SPY   231117P00444000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-20T20:45:00Z,SPY   231120P00446000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-20T20:45:00Z,SPY   231120P00451000,0.02,1,Market,Filled,0.02,"" 
2023-11-21T20:45:00Z,SPY   231121P00451000,0.06,1,Market,Filled,0.06,"" 
2023-11-21T20:45:00Z,SPY   231121P00446000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-22T20:45:00Z,SPY   231122P00453000,0.02,1,Market,Filled,0.02,"" 
2023-11-22T20:45:00Z,SPY   231122P00448000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-24T17:45:00Z,SPY   231124P00449000,0.04,-1,Market,Filled,-0.04,"" 
2023-11-24T17:45:00Z,SPY   231124P00454000,0.02,1,Market,Filled,0.02,"" 
2023-11-27T20:45:00Z,SPY   231127P00448000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-27T20:45:00Z,SPY   231127P00453000,0.01,1,Market,Filled,0.01,"" 
2023-11-28T20:45:00Z,SPY   231128P00452000,0.02,1,Market,Filled,0.02,"" 
2023-11-28T20:45:00Z,SPY   231128P00447000,0.02,-1,Market,Filled,-0.02,"" 
2023-11-29T20:45:00Z,SPY   231129P00457000,2.67,1,Market,Filled,2.67,"" 
2023-11-29T20:45:00Z,SPY   231129P00452000,0.01,-1,Market,Filled,-0.01,"" 
2023-11-30T20:45:00Z,SPY   231130P00454000,0.03,1,Market,Filled,0.03,"" 
2023-11-30T20:45:00Z,SPY   231130P00449000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-01T20:45:00Z,SPY   231201P00454000,0.01,1,Market,Filled,0.01,"" 
2023-12-01T20:45:00Z,SPY   231201P00449000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-04T20:45:00Z,SPY   231204P00449000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-04T20:45:00Z,SPY   231204P00454000,0.02,1,Market,Filled,0.02,"" 
2023-12-05T20:45:00Z,SPY   231205P00454000,0.02,1,Market,Filled,0.02,"" 
2023-12-05T20:45:00Z,SPY   231205P00449000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-06T20:45:00Z,SPY   231206P00451000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-06T20:45:00Z,SPY   231206P00456000,0.99,1,Market,Filled,0.99,"" 
2023-12-07T20:45:00Z,SPY   231207P00455000,0.02,1,Market,Filled,0.02,"" 
2023-12-07T20:45:00Z,SPY   231207P00450000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-08T20:45:00Z,SPY   231208P00457000,0.02,1,Market,Filled,0.02,"" 
2023-12-08T20:45:00Z,SPY   231208P00452000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-11T20:45:00Z,SPY   231211P00454000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-11T20:45:00Z,SPY   231211P00459000,0.01,1,Market,Filled,0.01,"" 
2023-12-12T20:45:00Z,SPY   231212P00455000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-12T20:45:00Z,SPY   231212P00460000,0.01,1,Market,Filled,0.01,"" 
2023-12-13T20:45:00Z,SPY   231213P00462000,0.01,1,Market,Filled,0.01,"" 
2023-12-13T20:45:00Z,SPY   231213P00457000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-14T20:45:00Z,SPY   231214P00466000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-14T20:45:00Z,SPY   231214P00471000,0.21,1,Market,Filled,0.21,"" 
2023-12-15T20:45:00Z,SPY   231215P00462000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-15T20:45:00Z,SPY   231215P00467000,0.02,1,Market,Filled,0.02,"" 
2023-12-18T20:45:00Z,SPY   231218P00465000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-18T20:45:00Z,SPY   231218P00470000,0.01,1,Market,Filled,0.01,"" 
2023-12-19T20:45:00Z,SPY   231219P00472000,0.02,1,Market,Filled,0.02,"" 
2023-12-19T20:45:00Z,SPY   231219P00467000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-20T20:45:00Z,SPY   231220P00473000,3.31,1,Market,Filled,3.31,"" 
2023-12-21T20:45:00Z,SPY   231221P00469000,0.03,1,Market,Filled,0.03,"" 
2023-12-21T20:45:00Z,SPY   231221P00464000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-22T20:45:00Z,SPY   231222P00468000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-22T20:45:00Z,SPY   231222P00473000,0.21,1,Market,Filled,0.21,"" 
2023-12-26T20:45:00Z,SPY   231226P00468000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-26T20:45:00Z,SPY   231226P00473000,0.01,1,Market,Filled,0.01,"" 
2023-12-27T20:45:00Z,SPY   231227P00475000,0.12,1,Market,Filled,0.12,"" 
2023-12-27T20:45:00Z,SPY   231227P00470000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-28T20:45:00Z,SPY   231228P00476000,0.03,1,Market,Filled,0.03,"" 
2023-12-28T20:45:00Z,SPY   231228P00471000,0.01,-1,Market,Filled,-0.01,"" 
2023-12-29T20:45:00Z,SPY   231229P00475000,0.29,1,Market,Filled,0.29,"" 
2023-12-29T20:45:00Z,SPY   231229P00470000,0.01,-1,Market,Filled,-0.01,"" 
2023-10-02T14:00:00Z,SPY   231002P00425000,0.53,-1,,Filled,-0.53,"" 
2023-10-03T14:00:00Z,SPY   231003P00424000,0.5,-1,,Filled,-0.5,"" 
2023-10-04T14:00:00Z,SPY   231004P00420000,0.5,-1,,Filled,-0.5,"" 
2023-10-05T14:00:00Z,SPY   231005P00422000,0.54,-1,,Filled,-0.54,"" 
2023-10-06T14:00:00Z,SPY   231006P00420000,0.7,-1,,Filled,-0.7,"" 
2023-10-09T14:00:00Z,SPY   231009P00428000,0.84,-1,,Filled,-0.84,"" 
2023-10-10T14:00:00Z,SPY   231010P00432000,0.53,-1,,Filled,-0.53,"" 
2023-10-11T14:00:00Z,SPY   231011P00433000,0.43,-1,,Filled,-0.43,"" 
2023-10-12T14:00:00Z,SPY   231012P00433000,0.34,-1,,Filled,-0.34,"" 
2023-10-13T14:00:00Z,SPY   231013P00434000,0.6,-1,,Filled,-0.6,"" 
2023-10-16T14:00:00Z,SPY   231016P00432000,0.49,-1,,Filled,-0.49,"" 
2023-10-17T14:00:00Z,SPY   231017P00431000,0.6,-1,,Filled,-0.6,"" 
2023-10-18T14:00:00Z,SPY   231018P00432000,0.62,-1,,Filled,-0.62,"" 
2023-10-19T14:00:00Z,SPY   231019P00428000,0.56,-1,,Filled,-0.56,"" 
