Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2024-01-02T15:00:00Z,SPY   240102P00471000,0.41,-1,,Filled,-0.41,"" 
2024-01-02T20:45:00Z,SPY   240102P00470000,0.02,-1,,Filled,-0.02,"" 
2024-01-03T15:00:00Z,SPY   240103P00468000,0.32,-1,,Filled,-0.32,"" 
2024-01-03T20:45:00Z,SPY   240103P00467000,0.01,-1,,Filled,-0.01,"" 
2024-01-04T15:00:00Z,SPY   240104P00467000,0.26,-1,,Filled,-0.26,"" 
2024-01-04T20:45:00Z,SPY   240104P00466000,0.01,-1,,Filled,-0.01,"" 
2024-01-05T15:00:00Z,SPY   240105P00466000,0.35,-1,,Filled,-0.35,"" 
2024-01-05T20:45:00Z,SPY   240105P00465000,0.01,-1,,Filled,-0.01,"" 
2024-01-08T15:00:00Z,SPY   240108P00468000,0.26,-1,,Filled,-0.26,"" 
2024-01-08T20:45:00Z,SPY   240108P00467000,0.01,-1,,Filled,-0.01,"" 
2024-01-09T15:00:00Z,SPY   240109P00471000,0.43,-1,,Filled,-0.43,"" 
2024-01-09T20:45:00Z,SPY   240109P00470000,0.01,-1,,Filled,-0.01,"" 
2024-01-10T15:00:00Z,SPY   240110P00473000,0.27,-1,,Filled,-0.27,"" 
2024-01-10T20:45:00Z,SPY   240110P00472000,0.01,-1,,Filled,-0.01,"" 
2024-01-11T15:00:00Z,SPY   240111P00474000,0.38,-1,,Filled,-0.38,"" 
2024-01-11T20:45:00Z,SPY   240111P00473000,0.01,-1,,Filled,-0.01,"" 
2024-01-12T15:00:00Z,SPY   240112P00475000,0.34,-1,,Filled,-0.34,"" 
2024-01-12T20:45:00Z,SPY   240112P00474000,0.01,-1,,Filled,-0.01,"" 
2024-01-16T15:00:00Z,SPY   240116P00473000,0.42,-1,,Filled,-0.42,"" 
2024-01-16T20:45:00Z,SPY   240116P00472000,0.01,-1,,Filled,-0.01,"" 
2024-01-17T15:00:00Z,SPY   240117P00469000,0.29,-1,,Filled,-0.29,"" 
2024-01-17T20:45:00Z,SPY   240117P00468000,0.01,-1,,Filled,-0.01,"" 
2024-01-18T15:00:00Z,SPY   240118P00472000,0.31,-1,,Filled,-0.31,"" 
2024-01-18T20:45:00Z,SPY   240118P00471000,0.01,-1,,Filled,-0.01,"" 
2024-01-19T15:00:00Z,SPY   240119P00476000,0.46,-1,,Filled,-0.46,"" 
2024-01-19T20:45:00Z,SPY   240119P00475000,0.01,-1,,Filled,-0.01,"" 
2024-01-22T15:00:00Z,SPY   240122P00483000,0.31,-1,,Filled,-0.31,"" 
2024-01-22T20:45:00Z,SPY   240122P00482000,0.01,-1,,Filled,-0.01,"" 
2024-01-23T15:00:00Z,SPY   240123P00482000,0.27,-1,,Filled,-0.27,"" 
2024-01-23T20:45:00Z,SPY   240123P00481000,0.01,-1,,Filled,-0.01,"" 
2024-01-24T15:00:00Z,SPY   240124P00486000,0.41,-1,,Filled,-0.41,"" 
2024-01-24T20:45:00Z,SPY   240124P00485000,0.05,-1,,Filled,-0.05,"" 
2024-01-25T15:00:00Z,SPY   240125P00486000,0.48,-1,,Filled,-0.48,"" 
2024-01-25T20:45:00Z,SPY   240125P00485000,0.01,-1,,Filled,-0.01,"" 
2024-01-26T15:00:00Z,SPY   240126P00486000,0.33,-1,,Filled,-0.33,"" 
2024-01-26T20:45:00Z,SPY   240126P00485000,0.01,-1,,Filled,-0.01,"" 
2024-01-29T15:00:00Z,SPY   240129P00486000,0.21,-1,,Filled,-0.21,"" 
2024-01-29T20:45:00Z,SPY   240129P00485000,0.01,-1,,Filled,-0.01,"" 
2024-01-30T15:00:00Z,SPY   240130P00489000,0.37,-1,,Filled,-0.37,"" 
2024-01-30T20:45:00Z,SPY   240130P00488000,0.02,-1,,Filled,-0.02,"" 
2024-01-31T15:00:00Z,SPY   240131P00485000,0.46,-1,,Filled,-0.46,"" 
2024-01-31T20:45:00Z,SPY   240131P00484000,0.65,-1,,Filled,-0.65,"" 
2024-02-01T15:00:00Z,SPY   240201P00483000,0.6,-1,,Filled,-0.6,"" 
2024-02-01T20:45:00Z,SPY   240201P00482000,0.01,-1,,Filled,-0.01,"" 
2024-02-02T15:00:00Z,SPY   240202P00489000,0.6,-1,,Filled,-0.6,"" 
2024-02-02T20:45:00Z,SPY   240202P00488000,0.01,-1,,Filled,-0.01,"" 
2024-02-05T15:00:00Z,SPY   240205P00492000,0.44,-1,,Filled,-0.44,"" 
2024-02-05T20:45:00Z,SPY   240205P00491000,0.01,-1,,Filled,-0.01,"" 
2024-02-06T15:00:00Z,SPY   240206P00491000,0.3,-1,,Filled,-0.3,"" 
2024-02-06T20:45:00Z,SPY   240206P00490000,0.01,-1,,Filled,-0.01,"" 
2024-02-07T15:00:00Z,SPY   240207P00494000,0.31,-1,,Filled,-0.31,"" 
2024-02-07T20:45:00Z,SPY   240207P00493000,0.01,-1,,Filled,-0.01,"" 
2024-02-08T15:00:00Z,SPY   240208P00496000,0.25,-1,,Filled,-0.25,"" 
2024-02-08T20:45:00Z,SPY   240208P00495000,0.01,-1,,Filled,-0.01,"" 
2024-02-09T15:00:00Z,SPY   240209P00498000,0.39,-1,,Filled,-0.39,"" 
2024-02-09T20:45:00Z,SPY   240209P00497000,0.01,-1,,Filled,-0.01,"" 
2024-02-12T15:00:00Z,SPY   240212P00500000,0.3,-1,,Filled,-0.3,"" 
2024-02-12T20:45:00Z,SPY   240212P00499000,0.01,-1,,Filled,-0.01,"" 
2024-02-13T15:00:00Z,SPY   240213P00492000,0.5,-1,,Filled,-0.5,"" 
2024-02-13T20:45:00Z,SPY   240213P00491000,0.06,-1,,Filled,-0.06,"" 
2024-02-14T15:00:00Z,SPY   240214P00495000,0.38,-1,,Filled,-0.38,"" 
2024-02-14T20:45:00Z,SPY   240214P00494000,0.01,-1,,Filled,-0.01,"" 
2024-02-15T15:00:00Z,SPY   240215P00498000,0.47,-1,,Filled,-0.47,"" 
2024-02-15T20:45:00Z,SPY   240215P00497000,0.01,-1,,Filled,-0.01,"" 
2024-02-16T15:00:00Z,SPY   240216P00498000,0.67,-1,,Filled,-0.67,"" 
2024-02-16T20:45:00Z,SPY   240216P00497000,0.04,-1,,Filled,-0.04,"" 
2024-02-20T15:00:00Z,SPY   240220P00495000,0.46,-1,,Filled,-0.46,"" 
2024-02-20T20:45:00Z,SPY   240220P00494000,0.03,-1,,Filled,-0.03,"" 
2024-02-21T15:00:00Z,SPY   240221P00493000,0.62,-1,,Filled,-0.62,"" 
2024-02-21T20:45:00Z,SPY   240221P00492000,0.06,-1,,Filled,-0.06,"" 
2024-02-22T15:00:00Z,SPY   240222P00503000,0.5,-1,,Filled,-0.5,"" 
2024-02-22T20:45:00Z,SPY   240222P00502000,0.01,-1,,Filled,-0.01,"" 
2024-02-23T15:00:00Z,SPY   240223P00508000,0.45,-1,,Filled,-0.45,"" 
2024-02-23T20:45:00Z,SPY   240223P00507000,0.04,-1,,Filled,-0.04,"" 
2024-02-26T15:00:00Z,SPY   240226P00507000,0.46,-1,,Filled,-0.46,"" 
2024-02-26T20:45:00Z,SPY   240226P00506000,0.13,-1,,Filled,-0.13,"" 
2024-02-27T15:00:00Z,SPY   240227P00504000,0.25,-1,,Filled,-0.25,"" 
2024-02-27T20:45:00Z,SPY   240227P00503000,0.01,-1,,Filled,-0.01,"" 
2024-02-28T15:00:00Z,SPY   240228P00504000,0.36,-1,,Filled,-0.36,"" 
2024-02-28T20:45:00Z,SPY   240228P00503000,0.01,-1,,Filled,-0.01,"" 
2024-02-29T15:00:00Z,SPY   240229P00507000,0.47,-1,,Filled,-0.47,"" 
2024-02-29T20:45:00Z,SPY   240229P00506000,0.01,-1,,Filled,-0.01,"" 
2024-03-01T15:00:00Z,SPY   240301P00507000,0.32,-1,,Filled,-0.32,"" 
2024-03-01T20:45:00Z,SPY   240301P00506000,0.01,-1,,Filled,-0.01,"" 
2024-03-04T15:00:00Z,SPY   240304P00511000,0.26,-1,,Filled,-0.26,"" 
2024-03-04T20:45:00Z,SPY   240304P00510000,0.01,-1,,Filled,-0.01,"" 
